Instrumento,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Cantidad,IV Bid,Bid,Mark,Ask,IV Ask,Cantidad
BTC-26JUL24-25000-C,-,-,,56.89658,-2.84151,5.96438,-,,0.9925,-,5,-,0.5805,0.5828,0.585,95.36,5
BTC-26JUL24-25000-P,0.1,16.1,,-1.19228,-2.84151,5.96438,-,,-0.0075,0.001,11,77.62,0.0008,0.0011,0.0014,83.68,0.4
BTC-26JUL24-30000-C,0.5,0.5,,66.86866,-5.546,12.64162,-,,0.98219,0.487,4.4,-,0.498,0.5007,0.5025,81.55,4.4
BTC-26JUL24-30000-P,1,11.9,,-2.83796,-5.546,12.64162,-,,-0.01781,0.0028,0.5,74.32,0.0026,0.0026,0.0029,75.69,2.1
BTC-26JUL24-35000-C,-,2,,75.78353,-8.79156,22.18544,-,,0.96515,0.445,3.5,57.07,0.4165,0.4195,0.4215,72.14,3.5
BTC-26JUL24-35000-P,0.5,20.2,,-5.54086,-8.79156,22.18544,-,,-0.03485,0.0055,0.5,67.1,0.005,0.005,0.0055,68.41,19.5
BTC-26JUL24-40000-C,-,-,,82.09372,-13.8534,37.82267,0.00001,,0.93202,-,1,58.04,0.3385,0.3409,0.343,65.26,1
BTC-26JUL24-40000-P,36.6,51.1,,-10.84844,-13.8534,37.82267,0.00001,,-0.06798,0.012,32.4,61.12,0.0095,0.0101,0.0105,62.71,15
BTC-26JUL24-44000-C,-,-,,84.05862,-19.38788,55.22472,0.00001,,0.88702,-,1,53.46,0.2765,0.2818,0.287,64.94,1
BTC-26JUL24-44000-P,0.3,0.2,,-18.17775,-19.38788,55.22472,0.00001,,-0.11298,0.0215,10.7,59.11,0.0175,0.0179,0.0185,60.19,15
BTC-26JUL24-45000-C,-,-,,84.0342,-20.90746,60.04815,0.00001,,0.87277,-,1,53.06,0.262,0.2677,0.273,64.13,1
BTC-26JUL24-45000-P,21.8,117.8,,-20.52574,-20.90746,60.04815,0.00001,,-0.12723,0.021,20,58.5,0.02,0.0206,0.0215,59.99,39.9
BTC-26JUL24-46000-C,-,0.1,,83.79096,-22.45477,64.97269,0.00001,,0.85728,0.24,1,52.88,0.248,0.254,0.2595,63.55,1
BTC-26JUL24-46000-P,0.1,79.7,,-23.09253,-22.45477,64.97269,0.00001,,-0.14272,0.026,18.8,58.12,0.023,0.0235,0.0245,59.49,27.3
BTC-26JUL24-48000-C,-,-,,82.6292,-25.58456,74.92106,0.00002,,0.82258,-,1,56.61,0.226,0.2276,0.23,59.8,1
BTC-26JUL24-48000-P,1.1,88,,-28.90139,-25.58456,74.92106,0.00002,,-0.17742,0.0415,26.8,57.39,0.03,0.0307,0.0315,58.58,15
BTC-26JUL24-50000-C,-,-,,80.64808,-28.57269,84.52362,0.00002,,0.78352,-,1,56.04,0.201,0.2028,0.2055,59.21,1
BTC-26JUL24-50000-P,6.3,35.8,,-35.52962,-28.57269,84.52362,0.00002,,-0.21648,0.04,29,56.75,0.0385,0.0393,0.0405,58.16,33.1
BTC-26JUL24-52000-C,-,1,,77.9159,-31.27296,93.32997,0.00002,,0.74069,0.1985,3,55.76,0.178,0.1797,0.183,58.95,13.4
BTC-26JUL24-52000-P,1.9,209.8,,-42.90891,-31.27296,93.32997,0.00002,,-0.25931,0.0505,17.8,56.43,0.049,0.0496,0.051,57.71,22.3
BTC-26JUL24-53000-C,-,-,,76.27254,-32.50891,97.32459,0.00002,,0.71799,-,3,55.54,0.167,0.1688,0.172,58.61,2
BTC-26JUL24-53000-P,0.2,0.2,,-46.87582,-32.50891,97.32459,0.00002,,-0.28201,0.0645,26.6,56.04,0.0545,0.0554,0.057,57.57,22.1
BTC-26JUL24-54000-C,-,-,,74.46265,-33.65655,100.98088,0.00002,,0.69461,-,3.9,55.66,0.157,0.1586,0.1615,58.33,1.9
BTC-26JUL24-54000-P,1.5,146.3,,-51.00926,-33.65655,100.98088,0.00002,,-0.30539,0.0755,16.3,56.01,0.061,0.0619,0.0635,57.49,33.3
BTC-26JUL24-55000-C,-,-,,72.54291,-34.64405,104.24247,0.00002,,0.6708,-,3.8,55.52,0.147,0.1485,0.1515,58.1,1.8
BTC-26JUL24-55000-P,2.1,27.1,,-55.25256,-34.64405,104.24247,0.00002,,-0.3292,0.0825,9.7,56.01,0.068,0.0685,0.07,57.16,14.4
BTC-26JUL24-56000-C,10,22.5,,70.47348,-35.55657,107.10355,0.00002,,0.64651,0.1355,4.8,55.7,0.138,0.1391,0.142,57.93,1.8
BTC-26JUL24-56000-P,0.5,19.2,,-59.64554,-35.55657,107.10355,0.00002,,-0.35349,0.0745,15.9,55.77,0.075,0.0759,0.0775,57.16,22.3
BTC-26JUL24-57000-C,-,-,,68.3109,-36.32833,109.52708,0.00002,,0.622,-,4.8,55.63,0.129,0.1303,0.133,57.81,1.8
BTC-26JUL24-57000-P,1,14.7,,-64.13168,-36.32833,109.52708,0.00002,,-0.378,0.1005,8,55.84,0.083,0.0836,0.085,56.93,13.5
BTC-26JUL24-58000-C,1,142.3,,66.07023,-36.96089,111.50259,0.00002,,0.59739,0.1115,5.6,55.6,0.1205,0.1217,0.1245,57.74,1.6
BTC-26JUL24-58000-P,95,139.9,,-68.6959,-36.96089,111.50259,0.00002,,-0.40261,0.1056,10.7,55.68,0.091,0.092,0.0935,57.02,19.8
BTC-26JUL24-59000-C,2.6,7.9,,63.76727,-37.4603,113.02569,0.00002,,0.5728,0.114,5.6,55.6,0.1125,0.1138,0.116,57.45,16.7
BTC-26JUL24-59000-P,-,7.1,,-73.32242,-37.4603,113.02569,0.00002,,-0.4272,0.1165,15.9,55.56,0.0995,0.1007,0.1025,57.15,19.7
BTC-26JUL24-60000-C,6.7,24,,61.41502,-37.86174,114.09732,0.00002,,0.54842,0.0995,17.2,55.64,0.105,0.1062,0.108,57.22,13.2
BTC-26JUL24-60000-P,1.3,26.5,,-77.99823,-37.86174,114.09732,0.00002,,-0.45158,0.122,8,55.75,0.109,0.11,0.1115,57.06,15
BTC-26JUL24-61000-C,1.7,26.9,,59.0478,-38.09374,114.73232,0.00002,,0.52427,0.0915,7,56,0.0985,0.0991,0.1005,57.04,13.2
BTC-26JUL24-61000-P,2,45.7,,-82.689,-38.09374,114.73232,0.00002,,-0.47573,0.144,8,55.72,0.1185,0.1196,0.121,57.02,15
BTC-26JUL24-62000-C,0.8,8.2,,56.67192,-38.19285,114.94502,0.00002,,0.50047,0.085,11.5,55.88,0.0915,0.0925,0.0935,56.92,9.2
BTC-26JUL24-62000-P,1.5,3.3,,-87.33438,-38.20289,114.97529,0.00002,,-0.49914,0.131,8,55.83,0.1285,0.1295,0.131,57.13,14
BTC-26JUL24-63000-C,0.3,8.7,,54.30327,-38.19066,114.75722,0.00002,,0.47719,0.0825,7,56.08,0.0855,0.0862,0.0875,57.13,15.3
BTC-26JUL24-63000-P,0.2,51.5,,-92.08063,-38.19066,114.75722,0.00002,,-0.52281,0.1425,8,55.83,0.139,0.1402,0.1415,57.13,14
BTC-26JUL24-64000-C,-,255,,51.95316,-38.04929,114.19274,0.00002,,0.45438,0.0801,19.6,56.09,0.0795,0.0803,0.0815,57.14,13.3
BTC-26JUL24-64000-P,-,3.3,,-96.7543,-38.04929,114.19274,0.00002,,-0.54562,0.101,7,55.46,0.149,0.151,0.1525,57.29,6
BTC-26JUL24-65000-C,0.2,54.9,,49.63796,-37.81954,113.28349,0.00002,,0.43225,0.0685,20.6,56.18,0.074,0.0748,0.076,57.24,14.4
BTC-26JUL24-65000-P,-,17,,-101.39305,-37.81954,113.28349,0.00002,,-0.56775,0.1355,1,54.89,0.159,0.1623,0.1675,59.37,35
BTC-26JUL24-66000-C,34.6,51.8,,47.36219,-37.47708,112.05484,0.00002,,0.41072,0.066,24,56.08,0.0685,0.0697,0.071,57.42,14.9
BTC-26JUL24-66000-P,-,5,,-105.99237,-37.47708,112.05484,0.00002,,-0.58928,0.146,10.3,55.19,0.171,0.1739,0.179,59.45,15.2
