Instrumento,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Cantidad,IV Bid,Bid,Mark,Ask,IV Ask,Cantidad
BTC-27DEC24-10000-C,-,-,,63.93991,-0.86274,4.36454,-,,0.99714,-,3.7,-,0.836,0.8387,0.8405,111.13,3.7
BTC-27DEC24-10000-P,-,79.1,,-1.48741,-0.86274,4.36454,-,,-0.00286,0.0006,1,88.88,0.0005,0.0008,0.0014,101.08,20
BTC-27DEC24-15000-C,-,1.4,,95.05744,-1.4372,8.57774,-,,0.99392,0.792,3,-,0.756,0.7583,0.761,93.57,3
BTC-27DEC24-15000-P,-,97.7,,-3.08354,-1.4372,8.57774,-,,-0.00608,0.0015,0.3,75.34,0.001,0.0016,0.0025,85.76,19.8
BTC-27DEC24-20000-C,-,3.3,,123.54689,-2.81079,18.21436,-,,0.98562,0.735,2.4,62.87,0.677,0.6794,0.682,81.16,2.4
BTC-27DEC24-20000-P,1,78.8,,-7.30775,-2.81079,18.21436,-,,-0.01438,0.0048,8,70.66,0.0029,0.0037,0.0048,77.05,25.8
BTC-27DEC24-25000-C,-,3.9,,148.65593,-4.80246,33.15441,-,,0.97083,0.6856,2.1,64.3,0.6,0.6024,0.6055,74.47,2.1
BTC-27DEC24-25000-P,0.1,281.7,,-14.91237,-4.80246,33.15441,-,,-0.02917,0.008,10.6,66.66,0.0065,0.0078,0.009,71.34,24.3
BTC-27DEC24-28000-C,-,-,,160.97408,-6.46906,45.65197,-,,0.95691,0.4685,1.9,64.2,0.5555,0.5579,0.5615,72.2,1.9
BTC-27DEC24-28000-P,-,198,,-22.22242,-6.46906,45.65197,-,,-0.04309,0.012,1.5,66.31,0.011,0.012,0.0135,69.66,13.7
BTC-27DEC24-29000-C,2,4.3,,164.74637,-7.03671,50.07611,-,,0.95166,0.5315,1.9,64.11,0.541,0.5433,0.547,71.38,1.9
BTC-27DEC24-29000-P,-,56.1,,-24.99286,-7.03671,50.07611,-,,-0.04834,0.0165,1.5,65.73,0.0125,0.0136,0.015,68.79,20.8
