Instrumento,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Cantidad,IV Bid,Bid,Mark,Ask,IV Ask,Cantidad
BTC-27SEP24-10000-C,-,1.2,,40.0394,-0.68644,1.8823,-,,0.9985,0.867,5,-,0.833,0.8351,0.837,136.23,5
BTC-27SEP24-10000-P,-,294.6,,-0.45642,-0.68644,1.8823,-,,-0.0015,0.0004,24,101.52,0.0002,0.0004,0.0006,114.17,27.4
BTC-27SEP24-15000-C,-,0.2,,59.89494,-1.01701,3.40083,-,,0.99712,0.7575,5,-,0.7505,0.7527,0.7545,106.8,5
BTC-27SEP24-15000-P,-,233.6,,-0.84878,-1.01701,3.40083,-,,-0.00288,0.0006,0.1,84.79,0.0004,0.0006,0.001,94.52,24.9
BTC-27SEP24-18000-C,-,1,,71.55586,-1.41428,5.15143,-,,0.99542,0.4275,4.5,-,0.701,0.7034,0.7055,96.64,4.5
BTC-27SEP24-18000-P,-,50.9,,-1.3366,-1.41428,5.15143,-,,-0.00458,0.0019,0.3,77.54,0.0006,0.0009,0.0014,86.4,20.2
BTC-27SEP24-19000-C,-,-,,75.32462,-1.6446,6.10653,-,,0.99445,-,4.3,-,0.6845,0.687,0.689,92.69,4.3
BTC-27SEP24-19000-P,-,134.5,,-1.61743,-1.6446,6.10653,-,,-0.00555,0.0016,0.5,76.86,0.0008,0.0011,0.0015,83.53,20.2
BTC-27SEP24-20000-C,-,2.7,,79.07202,-1.87637,7.11264,-,,0.99341,0.7155,4,-,0.6685,0.6707,0.673,91.25,4
BTC-27SEP24-20000-P,-,96.5,,-1.91961,-1.87637,7.11264,-,,-0.00659,0.0015,11.5,74.72,0.0009,0.0012,0.0017,81.46,20.1
BTC-27SEP24-21000-C,-,0.4,,82.79419,-2.11208,8.18073,-,,0.99228,0.7217,3.9,-,0.652,0.6544,0.6565,87.6,3.9
BTC-27SEP24-21000-P,-,29.1,,-2.24702,-2.11208,8.18073,-,,-0.00772,0.0015,11,73.5,0.0011,0.0015,0.0019,79.37,2.3
BTC-27SEP24-22000-C,-,0.4,,86.39261,-2.44071,9.60102,-,,0.99073,0.7088,3.7,-,0.6355,0.6381,0.6405,86.07,3.7
BTC-27SEP24-22000-P,-,57.4,,-2.69818,-2.44071,9.60102,-,,-0.00927,0.0036,11,72.82,0.0014,0.0017,0.0022,77.81,2.2
