Instrumento,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Cantidad,IV Bid,Bid,Mark,Ask,IV Ask,Cantidad
BTC-28JUN24-10000-C,-,42.9,,15.48573,-0.79584,0.57663,-,,0.99929,0.846,5,-,0.83,0.8318,0.8335,209.37,5
BTC-28JUN24-10000-P,-,653.9,,-0.07877,-0.79584,0.57663,-,,-0.00071,0.0001,-,-,-,0.0001,0.0002,162.13,16
BTC-28JUN24-15000-C,-,11.8,,23.24464,-0.8149,0.75936,-,,0.99904,0.7873,5,-,0.746,0.7477,0.7495,163.98,5
BTC-28JUN24-15000-P,-,439.2,,-0.10211,-0.8149,0.75936,-,,-0.00096,0.0003,0.5,117.86,0.0001,0.0001,0.0003,130.97,5
BTC-28JUN24-18000-C,-,4.7,,27.81108,-1.43887,1.43911,-,,0.99807,0.7493,5,-,0.696,0.6973,0.6995,148.06,5
BTC-28JUN24-18000-P,0.6,154,,-0.20502,-1.43887,1.43911,-,,-0.00193,0.0004,69.3,102.67,0.0001,0.0003,0.0005,120.72,5
BTC-28JUN24-19000-C,-,3.3,,29.33025,-1.63062,1.67787,-,,0.99771,0.7313,5,-,0.679,0.6806,0.6825,140.03,5
BTC-28JUN24-19000-P,-,123.2,,-0.24229,-1.63062,1.67787,-,,-0.00229,0.0004,109.5,98.17,0.0001,0.0003,0.0006,117.96,21.9
BTC-28JUN24-20000-C,-,140.6,,30.85616,-1.76074,1.87388,-,,0.99742,0.7155,5,-,0.662,0.6638,0.666,137.02,5
BTC-28JUN24-20000-P,0.5,351.4,,-0.27284,-1.76074,1.87388,-,,-0.00258,0.0002,0.1,100.24,0.0002,0.0004,0.0007,115.01,22.3
BTC-28JUN24-21000-C,-,11.5,,32.3403,-2.13868,2.31545,-,,0.99673,0.7036,5,-,0.6455,0.647,0.649,129.77,5
BTC-28JUN24-21000-P,-,149.8,,-0.34514,-2.13868,2.31545,-,,-0.00327,0.0002,0.1,100.01,0.0003,0.0005,0.0008,111.96,25.4
BTC-28JUN24-22000-C,-,1.2,,33.86564,-2.23585,2.51122,-,,0.99643,0.665,5,-,0.6285,0.6302,0.6325,126.97,5
BTC-28JUN24-22000-P,-,172,,-0.37625,-2.23585,2.51122,-,,-0.00357,0.0003,1.5,95.75,0.0003,0.0005,0.0008,107.23,22.2
BTC-28JUN24-23000-C,-,64.2,,35.32973,-2.67488,3.0558,-,,0.99555,0.65,5,-,0.612,0.6135,0.6155,120.37,5
BTC-28JUN24-23000-P,25,262.9,,-0.46862,-2.67488,3.0558,-,,-0.00445,0.0009,6.2,94.6,0.0004,0.0006,0.0009,104.28,28.5
BTC-28JUN24-24000-C,-,8.9,,36.79706,-3.05684,3.5715,-,,0.9947,0.6664,5,-,0.595,0.5968,0.599,117.72,5
BTC-28JUN24-24000-P,30.6,507.1,,-0.55773,-3.05684,3.5715,-,,-0.0053,0.0009,4.7,94.97,0.0006,0.0007,0.0009,99.9,1.6
BTC-28JUN24-25000-C,0.3,37.8,,38.27099,-3.36776,4.04373,-,,0.9939,0.5715,5,-,0.578,0.5801,0.582,111.66,5
BTC-28JUN24-25000-P,2,227.5,,-0.64025,-3.36776,4.04373,-,,-0.0061,0.001,8.1,90.96,0.0006,0.0008,0.0011,98.29,28.8
BTC-28JUN24-26000-C,-,31.9,,39.73399,-3.70337,4.56888,-,,0.993,0.6349,5,-,0.5615,0.5633,0.5655,109.13,5
BTC-28JUN24-26000-P,-,157.7,,-0.73371,-3.70337,4.56888,-,,-0.007,0.0008,6.2,88.78,0.0007,0.0009,0.0012,95.29,22.2
BTC-28JUN24-27000-C,0.5,993.1,,41.15148,-4.22924,5.32438,-,,0.99167,0.5335,5,-,0.5445,0.5467,0.549,106.49,5
BTC-28JUN24-27000-P,0.8,317.7,,-0.87266,-4.22924,5.32438,-,,-0.00833,0.0011,1,89.03,0.001,0.0011,0.0013,92.31,6.9
BTC-28JUN24-28000-C,-,74,,42.58896,-4.60934,5.96498,-,,0.99052,0.567,5,-,0.528,0.53,0.532,101.09,5
BTC-28JUN24-28000-P,6.5,241.7,,-0.99163,-4.60934,5.96498,-,,-0.00948,0.0013,8.1,85.25,0.001,0.0012,0.0014,89.34,0.8
BTC-28JUN24-29000-C,-,100.4,,44.00714,-5.03611,6.69408,-,,0.98918,0.5755,5,-,0.5115,0.5133,0.5155,98.56,5
BTC-28JUN24-29000-P,-,178.9,,-1.12991,-5.03611,6.69408,-,,-0.01082,0.0015,7,83.67,0.0012,0.0014,0.0016,87.23,0.8
BTC-28JUN24-30000-C,-,1039.2,,45.39039,-5.56905,7.58348,-,,0.98751,0.4805,5,-,0.4945,0.4967,0.499,95.95,5
BTC-28JUN24-30000-P,5.2,1463,,-1.3031,-5.56905,7.58348,-,,-0.01249,0.002,8.7,81.85,0.0014,0.0016,0.0019,85.7,31.5
BTC-28JUN24-31000-C,-,146,,46.77212,-6.05066,8.46581,-,,0.98581,0.541,5,-,0.478,0.48,0.4825,93.29,5
BTC-28JUN24-31000-P,5.1,214.5,,-1.47783,-6.05066,8.46581,-,,-0.01419,0.0019,7,79.86,0.0016,0.0018,0.002,82.66,3.1
BTC-28JUN24-32000-C,-,578.7,,48.07851,-6.78094,9.68451,-,,0.9834,0.4525,5,-,0.4615,0.4635,0.4655,88.55,5
