Instrumento,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Cantidad,IV Bid,Bid,Mark,Ask,IV Ask,Cantidad
BTC-28MAR25-20000-C,-,10,,164.10626,-3.42529,31.35984,-,,0.97799,0.74,4,58.93,0.684,0.6889,0.6945,81.56,4
BTC-28MAR25-20000-P,-,20.2,,-16.6114,-3.42529,31.35984,-,,-0.02201,0.0085,6.5,68.28,0.0055,0.0072,0.009,75.35,24.2
BTC-28MAR25-30000-C,-,6.3,,217.07074,-8.07903,79.6514,-,,0.93061,0.645,4,63.42,0.544,0.5483,0.5545,71.62,4
BTC-28MAR25-30000-P,0.4,114.5,,-54.00575,-8.07903,79.6514,-,,-0.06939,0.031,6,65.11,0.0235,0.0257,0.028,68.66,16.1
BTC-28MAR25-40000-C,1,5.5,,238.48993,-13.86259,139.34473,0.00001,,0.84985,0.4255,3,64.13,0.4265,0.4298,0.438,69.29,3
BTC-28MAR25-40000-P,0.7,85.1,,-122.94539,-13.86259,139.34473,0.00001,,-0.15015,0.0745,10,64.3,0.0635,0.0664,0.069,66.79,11.9
BTC-28MAR25-50000-C,-,7,,236.00585,-18.78344,189.31351,0.00001,,0.75119,0.3575,4,64.29,0.332,0.3355,0.344,68.27,4
BTC-28MAR25-50000-P,2,169.6,,-215.78829,-18.78344,189.31351,0.00001,,-0.24881,0.1305,4,64.36,0.128,0.1313,0.135,66.68,4
BTC-28MAR25-55000-C,0.1,12.1,,229.16611,-20.61624,207.58185,0.00001,,0.70025,0.294,4,64.27,0.2925,0.2966,0.3045,67.9,4
BTC-28MAR25-55000-P,-,39.4,,-267.80744,-20.61624,207.58185,0.00001,,-0.29975,0.191,4,64.46,0.1685,0.172,0.176,66.73,4
BTC-28MAR25-60000-C,2.5,10.3,,219.87934,-22.05489,221.12953,0.00001,,0.6504,0.2605,0.1,65.62,0.2625,0.2631,0.27,67.75,8.7
BTC-28MAR25-60000-P,2.5,47.6,,-322.27363,-22.05489,221.12953,0.00001,,-0.3496,0.24,4,64.5,0.2135,0.218,0.2215,66.77,4
BTC-28MAR25-65000-C,3,61.7,,209.53917,-22.99737,230.43158,0.00001,,0.60205,0.23,4.1,64.34,0.2275,0.233,0.24,67.75,9
BTC-28MAR25-65000-P,-,12.7,,-377.79322,-22.99737,230.43158,0.00001,,-0.39795,0.223,4,64.88,0.264,0.2675,0.272,67.06,4
BTC-28MAR25-70000-C,1.6,53.4,,198.24884,-23.64032,235.87006,0.00001,,0.55657,0.2035,4,64.95,0.203,0.2074,0.214,67.88,9.2
BTC-28MAR25-70000-P,0.7,16.9,,-434.26295,-23.64032,235.87006,0.00001,,-0.44343,0.345,4,65.05,0.3175,0.3215,0.326,67.32,4
BTC-28MAR25-75000-C,0.5,30,,186.73662,-23.99487,238.11784,0.00001,,0.51425,0.18,4,65.59,0.182,0.1853,0.1885,67.31,4
BTC-28MAR25-75000-P,0.1,22,,-490.95459,-23.99487,238.11784,0.00001,,-0.48575,0.408,4,65.28,0.3745,0.379,0.3835,67.65,4
BTC-28MAR25-80000-C,6.5,116.3,,175.38636,-24.10469,237.80745,0.00001,,0.47515,0.1635,4,66.01,0.163,0.1662,0.1695,67.72,4
BTC-28MAR25-80000-P,-,21.6,,-547.48427,-24.10469,237.80745,0.00001,,-0.52485,0.35,4,65.54,0.4345,0.4395,0.444,68.05,4
BTC-28MAR25-85000-C,0.5,252.5,,164.42362,-24.01321,235.49755,0.00001,,0.4392,0.1465,4,66.44,0.1465,0.1496,0.153,68.17,4
BTC-28MAR25-85000-P,-,36.5,,-603.62642,-24.01321,235.49755,0.00001,,-0.5608,0.55,-,-,-,0.5024,-,-,-
BTC-28MAR25-90000-C,1.1,52.5,,154.00311,-23.77629,231.68508,0.00001,,0.40643,0.1335,4,66.83,0.132,0.1352,0.138,68.46,4
BTC-28MAR25-90000-P,-,4.1,,-659.22634,-23.77629,231.68508,0.00001,,-0.59357,0.493,-,-,-,0.5676,-,-,-
BTC-28MAR25-100000-C,6.3,263.5,,134.65525,-22.83631,220.66964,0.00001,,0.34762,0.109,4,67.71,0.1085,0.1104,0.11,68.14,1
BTC-28MAR25-100000-P,-,9.4,,-768.93303,-22.83631,220.66964,0.00001,,-0.65238,0.548,-,-,-,0.702,-,-,-
BTC-28MAR25-110000-C,0.5,37.4,,118.63037,-21.94629,208.37206,0.00001,,0.30229,0.0915,5,68.62,0.0905,0.0933,0.096,70.27,5
BTC-28MAR25-110000-P,-,0.3,,-875.31674,-21.94629,208.37206,0.00001,,-0.69771,0.8125,-,-,-,0.844,-,-,-
BTC-28MAR25-120000-C,4.1,63,,104.62432,-20.80303,195.01672,0.00001,,0.26338,0.0755,5,69.52,0.0765,0.0791,0.082,71.29,5
BTC-28MAR25-120000-P,-,3.3,,-979.68161,-20.80303,195.01672,0.00001,,-0.73662,1.0625,-,-,-,0.9889,-,-,-
BTC-28MAR25-130000-C,0.6,53.1,,92.66103,-19.62209,181.76871,0.00001,,0.23094,0.066,5,70.26,0.065,0.0677,0.07,71.99,5
BTC-28MAR25-130000-P,-,-,,-1082.00374,-19.62209,181.76871,0.00001,,-0.76906,-,-,-,-,1.1367,-,-,-
BTC-28MAR25-140000-C,1,25.6,,82.42442,-18.45207,169.05286,0.00001,,0.2037,0.0575,5,71.05,0.056,0.0585,0.061,72.91,5
BTC-28MAR25-140000-P,-,0.2,,-1182.59918,-18.45207,169.05286,0.00001,,-0.7963,1.1765,-,-,-,1.2867,-,-,-
BTC-28MAR25-150000-C,1,95.5,,73.66192,-17.32986,157.1259,0.00001,,0.18074,0.049,5,71.74,0.0485,0.051,0.0535,73.74,5
BTC-28MAR25-150000-P,-,0.2,,-1281.7205,-17.32986,157.1259,0.00001,,-0.81926,1.1695,-,-,-,1.4383,-,-,-
BTC-28MAR25-160000-C,0.7,22.6,,66.07536,-16.25189,145.97269,0.00001,,0.1611,0.044,5,72.47,0.0425,0.0447,0.047,74.41,5
BTC-28MAR25-160000-P,-,0.2,,-1379.66589,-16.25189,145.97269,0.00001,,-0.8389,1.5,-,-,-,1.5912,-,-,-
BTC-28MAR25-180000-C,0.5,33.2,,53.74536,-14.2743,126.10562,-,,0.12964,0.0355,6,73.67,0.033,0.035,0.037,75.66,6
BTC-28MAR25-180000-P,-,0.2,,-1572.71355,-14.2743,126.10562,-,,-0.87036,1.7,-,-,-,1.8997,-,-,-
BTC-28MAR25-200000-C,1.3,1492.8,,44.18024,-12.50823,109.04738,-,,0.1056,0.029,13.2,74.62,0.026,0.0278,0.029,76.36,0.1
BTC-28MAR25-200000-P,-,12.8,,-1762.99632,-12.50823,109.04738,-,,-0.8944,2.1195,-,-,-,2.2108,-,-,-
BTC-28MAR25-220000-C,1.6,51.6,,37.40137,-11.21555,96.13269,-,,0.08893,0.0245,13.5,75.58,0.021,0.0231,0.025,78.2,6.1
BTC-28MAR25-220000-P,0.1,22,,-1950.49284,-11.21555,96.13269,-,,-0.91107,2.628,-,-,-,2.5244,-,-,-
BTC-28MAR25-250000-C,1.6,17.8,,29.84431,-9.6256,80.66887,-,,0.07054,0.018,6,77.12,0.016,0.018,0.0195,79.87,0.1
BTC-28MAR25-250000-P,-,-,,-2229.12639,-9.6256,80.66887,-,,-0.92946,-,-,-,-,2.9968,-,-,-
BTC-28MAR25-300000-C,2,123.3,,21.71911,-7.71915,62.59201,-,,0.05101,0.014,0.1,80.57,0.012,0.0128,0.0135,82.08,0.1
BTC-28MAR25-300000-P,-,-,,-2689.04573,-7.71915,62.59201,-,,-0.94899,-,-,-,-,3.7874,-,-,-
