Instrumento,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Cantidad,IV Bid,Bid,Mark,Ask,IV Ask,Cantidad
BTC-31MAY24-20000-C,-,-,,15.67736,-2.7166,1.0833,-,,0.99793,-,5,-,0.6595,0.6613,0.663,185.02,5
BTC-31MAY24-20000-P,62.5,228.2,,-0.10917,-2.7166,1.0833,-,,-0.00207,0.0005,23.5,131.01,0.0001,0.0003,0.0005,154.18,22.5
BTC-31MAY24-25000-C,-,-,,19.49093,-4.89238,2.23732,-,,0.99537,-,5,-,0.575,0.5769,0.579,157.03,69.9
BTC-31MAY24-25000-P,71.2,91.4,,-0.24223,-4.89238,2.23732,-,,-0.00463,0.0005,1.3,120.84,0.0004,0.0006,0.0007,129.12,34.9
BTC-31MAY24-30000-C,-,10,,23.27051,-6.65361,3.6041,-,,0.99207,0.5569,5,-,0.4905,0.4924,0.4945,128.51,78.3
BTC-31MAY24-30000-P,20.2,311.5,,-0.40928,-6.65361,3.6041,-,,-0.00793,0.0008,8.1,103.54,0.0007,0.0009,0.0011,109.96,25.8
BTC-31MAY24-35000-C,-,29.6,,26.8147,-10.50381,6.57622,-,,0.98416,0.4565,5,-,0.406,0.4084,0.4105,106.62,5
BTC-31MAY24-35000-P,15.2,122.9,,-0.81173,-10.50381,6.57622,-,,-0.01584,0.0016,1,90.21,0.0014,0.0016,0.0018,93.8,37.5
BTC-31MAY24-38000-C,-,1.4,,28.77614,-13.59533,9.31495,-,,0.97614,0.4485,4.5,-,0.3555,0.3583,0.3605,95.88,69.4
BTC-31MAY24-38000-P,26.3,119.7,,-1.21826,-13.59533,9.31495,-,,-0.02386,0.0024,24.4,82.79,0.0021,0.0023,0.0025,85.32,15.8
BTC-31MAY24-40000-C,-,0.1,,29.96315,-16.17969,11.77283,0.00001,,0.9684,0.3622,4.1,60.28,0.3225,0.325,0.327,87.96,10.1
BTC-31MAY24-40000-P,15,166.8,,-1.60991,-16.17969,11.77283,0.00001,,-0.0316,0.0039,17,78.3,0.0028,0.003,0.0032,80.3,24.1
BTC-31MAY24-42000-C,-,8.7,,31.00181,-19.34871,14.93483,0.00001,,0.95774,0.335,3.8,62,0.2895,0.2921,0.2945,83.29,3.8
BTC-31MAY24-42000-P,24.6,150.1,,-2.1499,-19.34871,14.93483,0.00001,,-0.04226,0.0055,0.1,74.23,0.0038,0.0039,0.0041,75.41,12
BTC-31MAY24-44000-C,-,150,,31.81842,-23.32388,19.03945,0.00001,,0.94272,0.3205,4.5,61.85,0.257,0.2595,0.2615,76.48,1
BTC-31MAY24-44000-P,45,524.4,,-2.91194,-23.32388,19.03945,0.00001,,-0.05728,0.006,30,69.81,0.005,0.0052,0.0055,71.36,21.4
BTC-31MAY24-45000-C,2.2,10.9,,32.1181,-25.63615,21.49533,0.00001,,0.93308,0.223,16.1,61.47,0.241,0.2434,0.2455,74.19,11.7
BTC-31MAY24-45000-P,7.2,410.2,,-3.4016,-25.63615,21.49533,0.00001,,-0.06692,0.0075,24.4,68.37,0.006,0.0061,0.0065,69.73,25.8
BTC-31MAY24-46000-C,-,3.2,,32.34,-28.08097,24.19192,0.00001,,0.92192,0.2875,1,61.83,0.2255,0.2275,0.2295,71.64,1
BTC-31MAY24-46000-P,36.4,283.6,,-3.96902,-28.08097,24.19192,0.00001,,-0.07808,0.01,43.9,66.51,0.007,0.0071,0.0075,67.72,13
BTC-31MAY24-47000-C,-,5.1,,32.42756,-30.99105,27.31908,0.00002,,0.90818,0.2305,13.8,60.03,0.2095,0.2119,0.214,69.86,9.7
BTC-31MAY24-47000-P,50.5,453.3,,-4.67079,-30.99105,27.31908,0.00002,,-0.09182,0.0105,87.4,64.31,0.008,0.0085,0.009,66.47,54.6
BTC-31MAY24-48000-C,-,2,,32.42366,-33.89583,30.62463,0.00002,,0.89265,0.171,1,60.03,0.1945,0.1964,0.1985,67.73,11.1
BTC-31MAY24-48000-P,100.5,288,,-5.46401,-33.89583,30.62463,0.00002,,-0.10735,0.0105,95.3,62.83,0.0095,0.01,0.0105,64.75,25.6
BTC-31MAY24-49000-C,-,1.1,,32.25302,-37.2159,34.31931,0.00002,,0.87395,0.297,1,60.14,0.18,0.1814,0.1835,66.1,12.7
BTC-31MAY24-49000-P,18.8,500.4,,-6.42398,-37.2159,34.31931,0.00002,,-0.12605,0.012,82.2,61.79,0.0115,0.0119,0.0125,63.5,40.9
BTC-31MAY24-50000-C,0.3,69.1,,31.95289,-40.52553,38.1663,0.00002,,0.85277,0.2175,13.6,57.85,0.1645,0.1667,0.1685,64.06,8.3
BTC-31MAY24-50000-P,386.2,2029.1,,-7.51344,-40.52553,38.1663,0.00002,,-0.14723,0.0141,25.6,60.99,0.014,0.0141,0.015,62.53,71.5
BTC-31MAY24-51000-C,-,11,,31.47968,-43.98015,42.20396,0.00003,,0.82834,0.204,1,57.44,0.1505,0.1524,0.1545,63.02,1
BTC-31MAY24-51000-P,921.5,1102.5,,-8.77597,-43.98015,42.20396,0.00003,,-0.17166,0.017,44,59.62,0.0165,0.0168,0.0175,61.01,53
BTC-31MAY24-52000-C,1,27.4,,30.85758,-47.265,46.24713,0.00003,,0.80112,0.1255,1,57.65,0.1375,0.1385,0.1405,61.46,11.9
